sep=	
"Question:"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"
"‡ = small sample size"	
"[1]: = not available due to small sample size"	
"[2]: = missing value"	
"Note:"	""
"Source of Data:"	"NA"
"Last update:"	"NA"
"Hyperlink to the variable:"	"NA?plot=heatMap&topic=&question=fa1_3&superSubset=1&subset=AllSubset&subsetValue=01. All"
"General Disclaimer of the FRA website:"	"NA"
"Code:"	"fa1_3"
"Subset Value:"	"All"
""
"CountryCode"	"question_code"	"question_label"	"subset"	"answer"	"percentage"	"notes"
"Austria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Once"	45	""
"Austria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Twice"	26	""
"Austria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Three times"	11	""
"Austria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Four times"	6	"‡"
"Austria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Five times"	5	"‡"
"Austria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Six to ten times"	4	"‡"
"Austria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"More than ten times"	3	"‡"
"Belgium"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Once"	49	""
"Belgium"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Twice"	25	""
"Belgium"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Three times"	15	""
"Belgium"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Four times"	4	"‡"
"Belgium"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Five times"	2	"‡"
"Belgium"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Six to ten times"	3	"‡"
"Belgium"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"More than ten times"	2	"‡"
"Bulgaria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Once"	44	""
"Bulgaria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Twice"	19	""
"Bulgaria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Three times"	13	"‡"
"Bulgaria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Four times"	4	"‡"
"Bulgaria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Five times"	2	"‡"
"Bulgaria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Six to ten times"	7	"‡"
"Bulgaria"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"More than ten times"	11	"‡"
"Cyprus"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Once"	50	"‡"
"Cyprus"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Twice"	24	"‡"
"Cyprus"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Three times"	0	"‡"
"Cyprus"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Four times"	4	"‡"
"Cyprus"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Five times"	14	"‡"
"Cyprus"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Six to ten times"	4	"‡"
"Cyprus"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"More than ten times"	4	"‡"
"Czechia"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Once"	45	""
"Czechia"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Twice"	26	""
"Czechia"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Three times"	14	""
"Czechia"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Four times"	2	"‡"
"Czechia"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Five times"	4	"‡"
"Czechia"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Six to ten times"	5	"‡"
"Czechia"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"More than ten times"	4	"‡"
"Germany"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Once"	44	""
"Germany"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Twice"	27	""
"Germany"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Three times"	12	""
"Germany"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Four times"	5	""
"Germany"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Five times"	3	""
"Germany"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Six to ten times"	5	""
"Germany"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"More than ten times"	5	""
"Denmark"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Once"	49	""
"Denmark"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Twice"	25	""
"Denmark"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Three times"	10	"‡"
"Denmark"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Four times"	3	"‡"
"Denmark"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Five times"	8	"‡"
"Denmark"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Six to ten times"	2	"‡"
"Denmark"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"More than ten times"	1	"‡"
"Estonia"	"fa1_3"	"How many times did somebody physically/sexually attack or threaten you with violence in the last 12 months?"	"All"	"Once"	48	"‡"
