sep=	
"Question:"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"
"‡ = small sample size"	
"[1]: = not available due to small sample size"	
"[2]: = missing value"	
"Note:"	""
"Source of Data:"	"NA"
"Last update:"	"NA"
"Hyperlink to the variable:"	"NA?plot=heatMap&topic=&question=fa1_5&superSubset=1&subset=AllSubset&subsetValue=01. All"
"General Disclaimer of the FRA website:"	"NA"
"Code:"	"fa1_5"
"Subset Value:"	"All"
""
"CountryCode"	"question_code"	"question_label"	"subset"	"answer"	"percentage"	"notes"
"Austria"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	54	""
"Austria"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	38	""
"Austria"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	8	"‡"
"Belgium"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	55	""
"Belgium"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	37	""
"Belgium"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	7	"‡"
"Bulgaria"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	68	""
"Bulgaria"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	23	""
"Bulgaria"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	9	"‡"
"Cyprus"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	61	"‡"
"Cyprus"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	30	"‡"
"Cyprus"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	9	"‡"
"Czechia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	56	""
"Czechia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	36	""
"Czechia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	7	"‡"
"Germany"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	58	""
"Germany"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	35	""
"Germany"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	8	""
"Denmark"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	49	""
"Denmark"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	41	""
"Denmark"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	10	"‡"
"Estonia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	56	"‡"
"Estonia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	39	"‡"
"Estonia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	5	"‡"
"Greece"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	56	""
"Greece"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	36	""
"Greece"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	8	""
"Spain"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	60	""
"Spain"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	31	""
"Spain"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	9	""
"Finland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	48	""
"Finland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	44	""
"Finland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	8	""
"France"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	58	""
"France"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	34	""
"France"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	8	""
"Croatia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	69	""
"Croatia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	21	""
"Croatia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	10	"‡"
"Hungary"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	59	""
"Hungary"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	34	""
"Hungary"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	8	""
"Ireland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	59	""
"Ireland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	34	""
"Ireland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	7	"‡"
"Italy"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	64	""
"Italy"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	29	""
"Italy"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	8	""
"Lithuania"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	58	""
"Lithuania"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	35	""
"Lithuania"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	6	"‡"
"Luxembourg"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	55	"‡"
"Luxembourg"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	34	"‡"
"Luxembourg"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	11	"‡"
"Latvia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	54	""
"Latvia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	40	""
"Latvia"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	6	"‡"
"Malta"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	68	"‡"
"Malta"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	29	"‡"
"Malta"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	3	"‡"
"Netherlands"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	58	""
"Netherlands"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	36	""
"Netherlands"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	6	"‡"
"Poland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	62	""
"Poland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	32	""
"Poland"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Don't know"	6	""
"Portugal"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"Yes"	60	""
"Portugal"	"fa1_5"	"LAST incident of physical / sexual attack or threat of violence in the past 12 months - Happened because perceived to be L, G, B or T?"	"All"	"No"	34	""
